School Name,State,Sport,TeamID,Notes
Abundant Life Christian High School,WI,Boys Baseball,155989,
Abundant Life Christian High School,WI,Boys Basketball,155276,
Abundant Life Christian High School,WI,Boys Football 8-Player,154196,
Abundant Life Christian High School,WI,Boys Golf,140521,
Abundant Life Christian High School,WI,Boys Track and Field,155898,
Abundant Life Christian High School,WI,Girls Basketball,155280,
Abundant Life Christian High School,WI,Girls Track and Field,155899,
Abundant Life Christian High School,WI,Girls Volleyball,153983,
Adams-Friendship High School,WI,Boys Baseball,141051,
Adams-Friendship High School,WI,Boys Basketball,141445,
Adams-Friendship High School,WI,Boys Cross Country,143386,
Adams-Friendship High School,WI,Boys Football,146070,
Adams-Friendship High School,WI,Boys Golf,142283,
Adams-Friendship High School,WI,Boys Soccer,142793,
Adams-Friendship High School,WI,Boys Track and Field,145430,
Adams-Friendship High School,WI,Boys Wrestling,144809,
Adams-Friendship High School,WI,Girls Basketball,141893,
Adams-Friendship High School,WI,Girls Cross Country,143047,
Adams-Friendship High School,WI,Girls Golf,152346,
Adams-Friendship High School,WI,Girls Soccer,144368,
Adams-Friendship High School,WI,Girls Softball,145048,
Adams-Friendship High School,WI,Girls Track and Field,145816,
Adams-Friendship High School,WI,Girls Volleyball,143723,
Adams-Friendship High School,WI,Girls Wrestling,149616,
Albany High School,WI,Boys Basketball,141631,
Albany High School,WI,Boys Cross Country,143490,
Albany High School,WI,Boys Track and Field,145566,
Albany High School,WI,Girls Basketball,139779,
Albany High School,WI,Girls Cross Country,143148,
Albany High School,WI,Girls Track and Field,145949,
Albany High School,WI,Girls Volleyball,143955,
Algoma High School,WI,Boys Baseball,141142,
Algoma High School,WI,Boys Basketball,141539,
Algoma High School,WI,Boys Cross Country,143491,
Algoma High School,WI,Boys Football 8-Player,147015,
Algoma High School,WI,Boys Soccer,142848,
Algoma High School,WI,Boys Track and Field,145567,
Algoma High School,WI,Girls Basketball,141987,
Algoma High School,WI,Girls Cross Country,143149,
Algoma High School,WI,Girls Softball,145191,
Algoma High School,WI,Girls Track and Field,145950,
Algoma High School,WI,Girls Volleyball,143838,
Almond-Bancroft High School,WI,Boys Baseball,141225,
Almond-Bancroft High School,WI,Boys Basketball,141632,
Almond-Bancroft High School,WI,Boys Football 8-Player,147157,
Almond-Bancroft High School,WI,Boys Track and Field,145568,
Almond-Bancroft High School,WI,Boys Wrestling,153856,
Almond-Bancroft High School,WI,Girls Basketball,142077,
Almond-Bancroft High School,WI,Girls Softball,145253,
Almond-Bancroft High School,WI,Girls Track and Field,145951,
Almond-Bancroft High School,WI,Girls Volleyball,143956,
Almond-Bancroft High School,WI,Girls Wrestling,153857,
Amherst High School,WI,Boys Baseball,141143,
Amherst High School,WI,Boys Basketball,141448,
Amherst High School,WI,Boys Cross Country,143492,
Amherst High School,WI,Boys Football,146073,
Amherst High School,WI,Boys Golf,142286,
Amherst High School,WI,Boys Soccer,147115,
Amherst High School,WI,Boys Track and Field,145433,
Amherst High School,WI,Boys Wrestling,144875,
Amherst High School,WI,Girls Basketball,141896,
Amherst High School,WI,Girls Cross Country,143150,
Amherst High School,WI,Girls Golf,153979,
Amherst High School,WI,Girls Soccer,154064,
Amherst High School,WI,Girls Softball,145120,
Amherst High School,WI,Girls Track and Field,145819,
Amherst High School,WI,Girls Volleyball,143839,
Amherst High School,WI,Girls Wrestling,147622,
Antigo High School,WI,Boys Baseball,141054,
Antigo High School,WI,Boys Basketball,141360,
Antigo High School,WI,Boys Cross Country,143389,
Antigo High School,WI,Boys Football,146074,
Antigo High School,WI,Boys Golf,142287,
Antigo High School,WI,Boys Hockey,140040,
Antigo High School,WI,Boys Soccer,142795,
Antigo High School,WI,Boys Swimming & Diving,147038,
Antigo High School,WI,Boys Tennis,142627,
Antigo High School,WI,Boys Track and Field,145434,
Antigo High School,WI,Boys Wrestling,144811,
Antigo High School,WI,Girls Basketball,141808,
Antigo High School,WI,Girls Cross Country,143050,
Antigo High School,WI,Girls Gymnastics,144079,
Antigo High School,WI,Girls Soccer,144370,
Antigo High School,WI,Girls Softball,147128,
Antigo High School,WI,Girls Swimming & Diving,153993,
Antigo High School,WI,Girls Tennis,144658,
Antigo High School,WI,Girls Track and Field,145820,
Antigo High School,WI,Girls Volleyball,143726,
Antigo High School,WI,Girls Wrestling,147317,
Appleton East High School,WI,Boys Baseball,140967,
Appleton East High School,WI,Boys Basketball,141292,
Appleton East High School,WI,Boys Cross Country,143271,
Appleton East High School,WI,Boys Football,146075,
Appleton East High School,WI,Boys Golf,142173,
Appleton East High School,WI,Boys Lacrosse-Boys,140730,
Appleton East High School,WI,Boys Soccer,142681,
Appleton East High School,WI,Boys Tennis,142522,
Appleton East High School,WI,Boys Track and Field,145305,
Appleton East High School,WI,Boys Volleyball,142893,
Appleton East High School,WI,Boys Wrestling,144715,
Appleton East High School,WI,Girls Basketball,141741,
Appleton East High School,WI,Girls Cross Country,142933,
Appleton East High School,WI,Girls Golf,144127,
Appleton East High School,WI,Girls Lacrosse-Girls,140765,
Appleton East High School,WI,Girls Soccer,144255,
Appleton East High School,WI,Girls Softball,144950,
Appleton East High School,WI,Girls Swimming & Diving,139153,
Appleton East High School,WI,Girls Tennis,144538,
Appleton East High School,WI,Girls Track and Field,145688,
Appleton East High School,WI,Girls Volleyball,143613,
Appleton East High School,WI,Girls Wrestling,155645,
Appleton North High School,WI,Boys Baseball,140968,
Appleton North High School,WI,Boys Basketball,141293,
Appleton North High School,WI,Boys Cross Country,143272,
Appleton North High School,WI,Boys Football,146076,
Appleton North High School,WI,Boys Golf,142174,
Appleton North High School,WI,Boys Hockey,155515,
Appleton North High School,WI,Boys Soccer,142682,
Appleton North High School,WI,Boys Swimming & Diving,139836,
Appleton North High School,WI,Boys Tennis,142523,
Appleton North High School,WI,Boys Track and Field,145306,
Appleton North High School,WI,Boys Volleyball,142894,
Appleton North High School,WI,Boys Wrestling,144716,
Appleton North High School,WI,Girls Basketball,141742,
Appleton North High School,WI,Girls Cross Country,142934,
Appleton North High School,WI,Girls Golf,144128,
Appleton North High School,WI,Girls Soccer,144256,
Appleton North High School,WI,Girls Softball,144951,
Appleton North High School,WI,Girls Swimming & Diving,144462,
Appleton North High School,WI,Girls Tennis,144539,
Appleton North High School,WI,Girls Track and Field,145689,
Appleton North High School,WI,Girls Volleyball,143614,
Appleton North High School,WI,Girls Wrestling,149576,
Appleton West High School,WI,Boys Baseball,140969,
Appleton West High School,WI,Boys Basketball,141294,
Appleton West High School,WI,Boys Cross Country,143273,
Appleton West High School,WI,Boys Football,146077,
Appleton West High School,WI,Boys Golf,142175,
Appleton West High School,WI,Boys Soccer,142683,
Appleton West High School,WI,Boys Swimming & Diving,139838,
Appleton West High School,WI,Boys Tennis,142524,
Appleton West High School,WI,Boys Track and Field,145307,
Appleton West High School,WI,Boys Volleyball,142895,
Appleton West High School,WI,Boys Wrestling,144717,
Appleton West High School,WI,Girls Basketball,141743,
Appleton West High School,WI,Girls Cross Country,142935,
Appleton West High School,WI,Girls Golf,144129,
Appleton West High School,WI,Girls Soccer,144257,
Appleton West High School,WI,Girls Softball,144952,
Appleton West High School,WI,Girls Swimming & Diving,154590,
Appleton West High School,WI,Girls Tennis,153079,
Appleton West High School,WI,Girls Track and Field,145690,
Appleton West High School,WI,Girls Volleyball,143615,
Appleton West High School,WI,Girls Wrestling,150706,
Arcadia High School,WI,Boys Baseball,141055,
Arcadia High School,WI,Boys Basketball,141449,
Arcadia High School,WI,Boys Cross Country,143390,
Arcadia High School,WI,Boys Football,146079,
Arcadia High School,WI,Boys Golf,142288,
Arcadia High School,WI,Boys Soccer,142850,
Arcadia High School,WI,Boys Track and Field,145436,
Arcadia High School,WI,Boys Wrestling,144877,
Arcadia High School,WI,Girls Basketball,141897,
Arcadia High School,WI,Girls Cross Country,143051,
Arcadia High School,WI,Girls Golf,149643,
Arcadia High School,WI,Girls Soccer,156068,
Arcadia High School,WI,Girls Softball,145122,
Arcadia High School,WI,Girls Track and Field,145822,
Arcadia High School,WI,Girls Volleyball,143841,
Arcadia High School,WI,Girls Wrestling,149574,
Argyle High School,WI,Boys Baseball,140477,
Argyle High School,WI,Boys Basketball,141633,
Argyle High School,WI,Boys Cross Country,154444,
Argyle High School,WI,Boys Golf,156023,
Argyle High School,WI,Boys Track and Field,156171,
Argyle High School,WI,Girls Basketball,139783,
Argyle High School,WI,Girls Cross Country,154489,
Argyle High School,WI,Girls Softball,140594,
Argyle High School,WI,Girls Track and Field,156201,
Argyle High School,WI,Girls Volleyball,143957,
Arrowhead High School,WI,Boys Baseball,140970,
Arrowhead High School,WI,Boys Basketball,141295,
Arrowhead High School,WI,Boys Cross Country,143274,
Arrowhead High School,WI,Boys Football,146080,
Arrowhead High School,WI,Boys Golf,142176,
Arrowhead High School,WI,Boys Hockey,144096,
Arrowhead High School,WI,Boys Lacrosse-Boys,153942,
Arrowhead High School,WI,Boys Soccer,142684,
Arrowhead High School,WI,Boys Swimming & Diving,142466,
Arrowhead High School,WI,Boys Tennis,142525,
Arrowhead High School,WI,Boys Track and Field,145308,
Arrowhead High School,WI,Boys Volleyball,142896,
Arrowhead High School,WI,Boys Wrestling,144718,
Arrowhead High School,WI,Girls Basketball,141744,
Arrowhead High School,WI,Girls Cross Country,142936,
Arrowhead High School,WI,Girls Golf,144130,
Arrowhead High School,WI,Girls Gymnastics,144063,
Arrowhead High School,WI,Girls Hockey,155583,
Arrowhead High School,WI,Girls Lacrosse-Girls,153926,
Arrowhead High School,WI,Girls Soccer,144258,
Arrowhead High School,WI,Girls Softball,144953,
Arrowhead High School,WI,Girls Swimming & Diving,144463,
Arrowhead High School,WI,Girls Tennis,144540,
Arrowhead High School,WI,Girls Track and Field,145691,
Arrowhead High School,WI,Girls Volleyball,143616,
Arrowhead High School,WI,Girls Wrestling,149558,
Ashwaubenon High School,WI,Boys Baseball,140971,
Ashwaubenon High School,WI,Boys Basketball,141362,
Ashwaubenon High School,WI,Boys Cross Country,143275,
Ashwaubenon High School,WI,Boys Football,146082,
Ashwaubenon High School,WI,Boys Golf,142177,
Ashwaubenon High School,WI,Boys Hockey,140046,
Ashwaubenon High School,WI,Boys Soccer,142734,
Ashwaubenon High School,WI,Boys Swimming & Diving,142493,
Ashwaubenon High School,WI,Boys Tennis,142526,
Ashwaubenon High School,WI,Boys Track and Field,145309,
Ashwaubenon High School,WI,Boys Wrestling,144719,
Ashwaubenon High School,WI,Girls Basketball,141810,
Ashwaubenon High School,WI,Girls Cross Country,142937,
Ashwaubenon High School,WI,Girls Golf,144131,
Ashwaubenon High School,WI,Girls Soccer,144311,
Ashwaubenon High School,WI,Girls Softball,144954,
Ashwaubenon High School,WI,Girls Swimming & Diving,144505,
Ashwaubenon High School,WI,Girls Tennis,144541,
Ashwaubenon High School,WI,Girls Track and Field,145692,
Ashwaubenon High School,WI,Girls Volleyball,143617,
Ashwaubenon High School,WI,Girls Wrestling,150722,
Badger High School,WI,Boys Baseball,140972,
Badger High School,WI,Boys Basketball,141296,
Badger High School,WI,Boys Cross Country,143276,
Badger High School,WI,Boys Football,146086,
Badger High School,WI,Boys Golf,142178,
Badger High School,WI,Boys Soccer,142685,
Badger High School,WI,Boys Swimming & Diving,155346,
Badger High School,WI,Boys Tennis,142527,
Badger High School,WI,Boys Track and Field,145310,
Badger High School,WI,Boys Wrestling,144720,
Badger High School,WI,Girls Basketball,141745,
Badger High School,WI,Girls Cross Country,142938,
Badger High School,WI,Girls Golf,153996,
Badger High School,WI,Girls Soccer,144259,
Badger High School,WI,Girls Softball,144955,
Badger High School,WI,Girls Swimming & Diving,154592,
Badger High School,WI,Girls Tennis,144542,
Badger High School,WI,Girls Track and Field,145693,
Badger High School,WI,Girls Volleyball,143618,
Badger High School,WI,Girls Wrestling,149572,
Bangor High School,WI,Boys Baseball,141229,
Bangor High School,WI,Boys Basketball,141636,
Bangor High School,WI,Boys Cross Country,143498,
Bangor High School,WI,Boys Football,146088,
Bangor High School,WI,Boys Track and Field,145573,
Bangor High School,WI,Girls Basketball,142080,
Bangor High School,WI,Girls Cross Country,143156,
Bangor High School,WI,Girls Softball,145256,
Bangor High School,WI,Girls Track and Field,145956,
Bangor High School,WI,Girls Volleyball,143960,
Baraboo High School,WI,Boys Baseball,140973,
Baraboo High School,WI,Boys Basketball,141363,
Baraboo High School,WI,Boys Cross Country,143277,
Baraboo High School,WI,Boys Football,146089,
Baraboo High School,WI,Boys Golf,142179,
Baraboo High School,WI,Boys Hockey,155519,
Baraboo High School,WI,Boys Soccer,142735,
Baraboo High School,WI,Boys Swimming & Diving,142494,
Baraboo High School,WI,Boys Tennis,142528,
Baraboo High School,WI,Boys Track and Field,145311,
Baraboo High School,WI,Boys Wrestling,144721,
Baraboo High School,WI,Girls Basketball,141811,
Baraboo High School,WI,Girls Cross Country,142939,
Baraboo High School,WI,Girls Golf,144132,
Baraboo High School,WI,Girls Gymnastics,144080,
Baraboo High School,WI,Girls Soccer,144312,
Baraboo High School,WI,Girls Softball,144956,
Baraboo High School,WI,Girls Swimming & Diving,144506,
Baraboo High School,WI,Girls Tennis,144543,
Baraboo High School,WI,Girls Track and Field,145694,
Baraboo High School,WI,Girls Volleyball,143619,
Baraboo High School,WI,Girls Wrestling,147575,
Barneveld High School,WI,Boys Baseball,141230,
Barneveld High School,WI,Boys Basketball,141637,
Barneveld High School,WI,Boys Golf,142384,
Barneveld High School,WI,Girls Basketball,142081,
Barneveld High School,WI,Girls Softball,145257,
Barneveld High School,WI,Girls Volleyball,143961,
Bay Port High School,WI,Boys Baseball,140974,
Bay Port High School,WI,Boys Basketball,141297,
Bay Port High School,WI,Boys Cross Country,143278,
Bay Port High School,WI,Boys Football,146091,
Bay Port High School,WI,Boys Golf,142180,
Bay Port High School,WI,Boys Lacrosse-Boys,153943,
Bay Port High School,WI,Boys Soccer,142686,
Bay Port High School,WI,Boys Swimming & Diving,142467,
Bay Port High School,WI,Boys Tennis,142529,
Bay Port High School,WI,Boys Track and Field,149654,
Bay Port High School,WI,Boys Wrestling,144722,
Bay Port High School,WI,Girls Basketball,141746,
Bay Port High School,WI,Girls Cross Country,142940,
Bay Port High School,WI,Girls Golf,144133,
Bay Port High School,WI,Girls Lacrosse-Girls,153927,
Bay Port High School,WI,Girls Soccer,144260,
Bay Port High School,WI,Girls Softball,144957,
Bay Port High School,WI,Girls Swimming & Diving,144464,
Bay Port High School,WI,Girls Tennis,144544,
Bay Port High School,WI,Girls Track and Field,145695,
Bay Port High School,WI,Girls Volleyball,143620,
Bay Port High School,WI,Girls Wrestling,147272,
Beaver Dam High School,WI,Boys Baseball,140975,
Beaver Dam High School,WI,Boys Basketball,141364,
Beaver Dam High School,WI,Boys Cross Country,143279,
Beaver Dam High School,WI,Boys Football,146092,
Beaver Dam High School,WI,Boys Golf,142181,
Beaver Dam High School,WI,Boys Hockey,140048,
Beaver Dam High School,WI,Boys Soccer,142736,
Beaver Dam High School,WI,Boys Swimming & Diving,139840,
Beaver Dam High School,WI,Boys Tennis,142530,
Beaver Dam High School,WI,Boys Track and Field,145312,
Beaver Dam High School,WI,Boys Wrestling,152321,
Beaver Dam High School,WI,Girls Basketball,141812,
Beaver Dam High School,WI,Girls Cross Country,142941,
Beaver Dam High School,WI,Girls Golf,153981,
Beaver Dam High School,WI,Girls Hockey,155585,
Beaver Dam High School,WI,Girls Soccer,144313,
Beaver Dam High School,WI,Girls Softball,144958,
Beaver Dam High School,WI,Girls Swimming & Diving,139154,
Beaver Dam High School,WI,Girls Tennis,144545,
Beaver Dam High School,WI,Girls Track and Field,145696,
Beaver Dam High School,WI,Girls Volleyball,143621,
Beaver Dam High School,WI,Girls Wrestling,152322,
Belleville High School,WI,Boys Baseball,141146,
Belleville High School,WI,Boys Basketball,141543,
Belleville High School,WI,Boys Cross Country,143499,
Belleville High School,WI,Boys Football,146093,
Belleville High School,WI,Boys Soccer,139113,
Belleville High School,WI,Boys Track and Field,154070,
Belleville High School,WI,Boys Wrestling,139882,
Belleville High School,WI,Girls Basketball,141991,
Belleville High School,WI,Girls Cross Country,143157,
Belleville High School,WI,Girls Soccer,156070,
Belleville High School,WI,Girls Softball,145124,
Belleville High School,WI,Girls Track and Field,154071,
Belleville High School,WI,Girls Volleyball,143844,
Belleville High School,WI,Girls Wrestling,139968,
Belmont High School,WI,Boys Baseball,141232,
Belmont High School,WI,Boys Basketball,141639,
Belmont High School,WI,Boys Football 8-Player,147016,
Belmont High School,WI,Boys Track and Field,145574,
Belmont High School,WI,Boys Wrestling,139884,
Belmont High School,WI,Girls Basketball,142083,
Belmont High School,WI,Girls Softball,145258,
Belmont High School,WI,Girls Track and Field,145957,
Belmont High School,WI,Girls Volleyball,143963,
Belmont High School,WI,Girls Wrestling,139970,
Beloit Memorial High School,WI,Boys Baseball,140976,
Beloit Memorial High School,WI,Boys Basketball,141298,
Beloit Memorial High School,WI,Boys Cross Country,143280,
Beloit Memorial High School,WI,Boys Football,146094,
Beloit Memorial High School,WI,Boys Golf,142182,
Beloit Memorial High School,WI,Boys Hockey,140050,
Beloit Memorial High School,WI,Boys Soccer,142687,
Beloit Memorial High School,WI,Boys Swimming & Diving,142468,
Beloit Memorial High School,WI,Boys Tennis,142531,
Beloit Memorial High School,WI,Boys Track and Field,145313,
Beloit Memorial High School,WI,Boys Volleyball,142897,
Beloit Memorial High School,WI,Boys Wrestling,144723,
Beloit Memorial High School,WI,Girls Basketball,141747,
Beloit Memorial High School,WI,Girls Cross Country,142942,
Beloit Memorial High School,WI,Girls Golf,144134,
Beloit Memorial High School,WI,Girls Soccer,147130,
Beloit Memorial High School,WI,Girls Softball,144959,
Beloit Memorial High School,WI,Girls Swimming & Diving,144465,
Beloit Memorial High School,WI,Girls Tennis,144546,
Beloit Memorial High School,WI,Girls Track and Field,145697,
Beloit Memorial High School,WI,Girls Volleyball,143622,
Beloit Memorial High School,WI,Girls Wrestling,149577,
Benton High School,WI,Boys Basketball,141640,
Benton High School,WI,Boys Football,154136,
Benton High School,WI,Boys Track and Field,156173,
Benton High School,WI,Girls Basketball,142084,
Benton High School,WI,Girls Softball,156111,
Benton High School,WI,Girls Track and Field,156203,
Benton High School,WI,Girls Volleyball,143964,
Berlin High School,WI,Boys Baseball,141059,
Berlin High School,WI,Boys Basketball,141452,
Berlin High School,WI,Boys Cross Country,143394,
Berlin High School,WI,Boys Football,146095,
Berlin High School,WI,Boys Golf,142292,
Berlin High School,WI,Boys Soccer,142797,
Berlin High School,WI,Boys Swimming & Diving,155348,
Berlin High School,WI,Boys Track and Field,145440,
Berlin High School,WI,Boys Wrestling,144815,
Berlin High School,WI,Girls Basketball,141900,
Berlin High School,WI,Girls Cross Country,143055,
Berlin High School,WI,Girls Soccer,144373,
Berlin High School,WI,Girls Softball,145052,
Berlin High School,WI,Girls Swimming & Diving,154605,
Berlin High School,WI,Girls Track and Field,145826,
Berlin High School,WI,Girls Volleyball,143731,
Berlin High School,WI,Girls Wrestling,153881,
Big Foot High School,WI,Boys Baseball,141060,
Big Foot High School,WI,Boys Basketball,141453,
Big Foot High School,WI,Boys Cross Country,138992,
Big Foot High School,WI,Boys Football,146096,
Big Foot High School,WI,Boys Golf,142293,
Big Foot High School,WI,Boys Soccer,139117,
Big Foot High School,WI,Boys Tennis,140644,
Big Foot High School,WI,Boys Track and Field,156175,
Big Foot High School,WI,Boys Wrestling,155394,
Big Foot High School,WI,Girls Basketball,141901,
Big Foot High School,WI,Girls Cross Country,154697,
Big Foot High School,WI,Girls Golf,154127,
Big Foot High School,WI,Girls Soccer,140565,
Big Foot High School,WI,Girls Softball,145053,
Big Foot High School,WI,Girls Tennis,139203,
Big Foot High School,WI,Girls Track and Field,156205,
Big Foot High School,WI,Girls Volleyball,143732,
Big Foot High School,WI,Girls Wrestling,155456,
Black Hawk High School,WI,Boys Basketball,141642,
Black Hawk High School,WI,Boys Football,154138,
Black Hawk High School,WI,Boys Track and Field,145575,
Black Hawk High School,WI,Boys Wrestling,139886,
Black Hawk High School,WI,Girls Basketball,142086,
Black Hawk High School,WI,Girls Track and Field,145958,
Black Hawk High School,WI,Girls Volleyball,143966,
Black Hawk High School,WI,Girls Wrestling,139972,
Black River Falls High School,WI,Boys Baseball,150453,
Black River Falls High School,WI,Boys Basketball,141454,
Black River Falls High School,WI,Boys Cross Country,143395,
Black River Falls High School,WI,Boys Football,146097,
Black River Falls High School,WI,Boys Golf,142294,
Black River Falls High School,WI,Boys Hockey,140052,
Black River Falls High School,WI,Boys Soccer,154555,
Black River Falls High School,WI,Boys Tennis,142630,
Black River Falls High School,WI,Boys Track and Field,145441,
Black River Falls High School,WI,Boys Wrestling,139887,
Black River Falls High School,WI,Girls Basketball,141902,
Black River Falls High School,WI,Girls Cross Country,143056,
Black River Falls High School,WI,Girls Golf,144216,
Black River Falls High School,WI,Girls Hockey,140078,
Black River Falls High School,WI,Girls Softball,145054,
Black River Falls High School,WI,Girls Swimming & Diving,154607,
Black River Falls High School,WI,Girls Tennis,144664,
Black River Falls High School,WI,Girls Track and Field,145827,
Black River Falls High School,WI,Girls Volleyball,143733,
Black River Falls High School,WI,Girls Wrestling,139973,
Boscobel High School,WI,Boys Baseball,141148,
Boscobel High School,WI,Boys Basketball,141545,
Boscobel High School,WI,Boys Cross Country,143502,
Boscobel High School,WI,Boys Football,146101,
Boscobel High School,WI,Boys Track and Field,145577,
Boscobel High School,WI,Boys Wrestling,155398,
Boscobel High School,WI,Girls Basketball,141993,
Boscobel High School,WI,Girls Cross Country,143160,
Boscobel High School,WI,Girls Softball,145194,
Boscobel High School,WI,Girls Track and Field,145960,
Boscobel High School,WI,Girls Volleyball,143846,
Boscobel High School,WI,Girls Wrestling,155460,
Brillion High School,WI,Boys Baseball,141150,
Brillion High School,WI,Boys Basketball,141456,
Brillion High School,WI,Boys Cross Country,143504,
Brillion High School,WI,Boys Football,146103,
Brillion High School,WI,Boys Golf,142296,
Brillion High School,WI,Boys Track and Field,145444,
Brillion High School,WI,Boys Wrestling,144882,
Brillion High School,WI,Girls Basketball,141904,
Brillion High School,WI,Girls Cross Country,143162,
Brillion High School,WI,Girls Softball,145127,
Brillion High School,WI,Girls Track and Field,145830,
Brillion High School,WI,Girls Volleyball,143848,
Brillion High School,WI,Girls Wrestling,153896,
Brodhead High School,WI,Boys Baseball,140479,
Brodhead High School,WI,Boys Basketball,141457,
Brodhead High School,WI,Boys Cross Country,138994,
Brodhead High School,WI,Boys Football,154140,
Brodhead High School,WI,Boys Golf,142297,
Brodhead High School,WI,Boys Track and Field,140660,
Brodhead High School,WI,Boys Wrestling,139889,
Brodhead High School,WI,Girls Basketball,141905,
Brodhead High School,WI,Girls Cross Country,139035,
Brodhead High School,WI,Girls Softball,145128,
Brodhead High School,WI,Girls Track and Field,140699,
Brodhead High School,WI,Girls Volleyball,143849,
Brodhead High School,WI,Girls Wrestling,139974,
Brookfield Academy High School,WI,Boys Baseball,141151,
Brookfield Academy High School,WI,Boys Basketball,141458,
Brookfield Academy High School,WI,Boys Cross Country,143505,
Brookfield Academy High School,WI,Boys Football,146104,
Brookfield Academy High School,WI,Boys Golf,142298,
Brookfield Academy High School,WI,Boys Soccer,142852,
Brookfield Academy High School,WI,Boys Swimming & Diving,142495,
Brookfield Academy High School,WI,Boys Tennis,142631,
Brookfield Academy High School,WI,Boys Track and Field,145445,
Brookfield Academy High School,WI,Girls Basketball,141906,
Brookfield Academy High School,WI,Girls Cross Country,143163,
Brookfield Academy High School,WI,Girls Soccer,144421,
Brookfield Academy High School,WI,Girls Softball,153903,
Brookfield Academy High School,WI,Girls Tennis,144666,
Brookfield Academy High School,WI,Girls Track and Field,145831,
Brookfield Academy High School,WI,Girls Volleyball,143850,
Brookfield Central High School,WI,Boys Baseball,146891,
Brookfield Central High School,WI,Boys Basketball,141299,
Brookfield Central High School,WI,Boys Cross Country,143281,
Brookfield Central High School,WI,Boys Football,146105,
Brookfield Central High School,WI,Boys Golf,142183,
Brookfield Central High School,WI,Boys Lacrosse-Boys,140732,
Brookfield Central High School,WI,Boys Soccer,142688,
Brookfield Central High School,WI,Boys Swimming & Diving,155350,
Brookfield Central High School,WI,Boys Tennis,142532,
Brookfield Central High School,WI,Boys Track and Field,145314,
Brookfield Central High School,WI,Boys Volleyball,142898,
Brookfield Central High School,WI,Boys Wrestling,144724,
Brookfield Central High School,WI,Girls Basketball,141748,
Brookfield Central High School,WI,Girls Cross Country,142943,
Brookfield Central High School,WI,Girls Golf,144135,
Brookfield Central High School,WI,Girls Hockey,140080,
Brookfield Central High School,WI,Girls Soccer,144261,
Brookfield Central High School,WI,Girls Softball,144960,
Brookfield Central High School,WI,Girls Swimming & Diving,144466,
Brookfield Central High School,WI,Girls Tennis,144547,
Brookfield Central High School,WI,Girls Track and Field,145698,
Brookfield Central High School,WI,Girls Volleyball,143623,
Brookfield Central High School,WI,Girls Wrestling,147596,
Brookfield East High School,WI,Boys Baseball,146888,
Brookfield East High School,WI,Boys Basketball,141300,
Brookfield East High School,WI,Boys Cross Country,143282,
Brookfield East High School,WI,Boys Football,146106,
Brookfield East High School,WI,Boys Golf,142184,
Brookfield East High School,WI,Boys Hockey,155523,
Brookfield East High School,WI,Boys Soccer,142737,
Brookfield East High School,WI,Boys Tennis,142533,
Brookfield East High School,WI,Boys Track and Field,145315,
Brookfield East High School,WI,Boys Volleyball,142899,
Brookfield East High School,WI,Boys Wrestling,144725,
Brookfield East High School,WI,Girls Basketball,141749,
Brookfield East High School,WI,Girls Cross Country,142944,
Brookfield East High School,WI,Girls Golf,144136,
Brookfield East High School,WI,Girls Gymnastics,155308,
Brookfield East High School,WI,Girls Lacrosse-Girls,140767,
Brookfield East High School,WI,Girls Soccer,144314,
Brookfield East High School,WI,Girls Softball,144961,
Brookfield East High School,WI,Girls Swimming & Diving,144467,
Brookfield East High School,WI,Girls Tennis,144548,
Brookfield East High School,WI,Girls Track and Field,145699,
Brookfield East High School,WI,Girls Volleyball,143624,
Brookfield East High School,WI,Girls Wrestling,147285,
Brookwood High School,WI,Boys Baseball,141152,
Brookwood High School,WI,Boys Basketball,141547,
Brookwood High School,WI,Boys Cross Country,143506,
Brookwood High School,WI,Boys Football,146107,
Brookwood High School,WI,Boys Track and Field,145579,
Brookwood High School,WI,Boys Wrestling,144883,
Brookwood High School,WI,Girls Basketball,141995,
Brookwood High School,WI,Girls Cross Country,143164,
Brookwood High School,WI,Girls Softball,145196,
Brookwood High School,WI,Girls Track and Field,145962,
Brookwood High School,WI,Girls Volleyball,143851,
Brookwood High School,WI,Girls Wrestling,153839,
Brown Deer High School,WI,Boys Baseball,154087,
Brown Deer High School,WI,Boys Basketball,141365,
Brown Deer High School,WI,Boys Cross Country,143397,
Brown Deer High School,WI,Boys Football,146108,
Brown Deer High School,WI,Boys Golf,142299,
Brown Deer High School,WI,Boys Soccer,142798,
Brown Deer High School,WI,Boys Swimming & Diving,155352,
Brown Deer High School,WI,Boys Tennis,142632,
Brown Deer High School,WI,Boys Track and Field,145446,
Brown Deer High School,WI,Boys Volleyball,155967,
Brown Deer High School,WI,Boys Wrestling,139891,
Brown Deer High School,WI,Girls Basketball,141813,
Brown Deer High School,WI,Girls Cross Country,147087,
Brown Deer High School,WI,Girls Soccer,156114,
Brown Deer High School,WI,Girls Softball,156115,
Brown Deer High School,WI,Girls Swimming & Diving,154610,
Brown Deer High School,WI,Girls Tennis,144667,
Brown Deer High School,WI,Girls Track and Field,145832,
Brown Deer High School,WI,Girls Volleyball,143735,
Brown Deer High School,WI,Girls Wrestling,139976,
Burlington High School,WI,Boys Baseball,140977,
Burlington High School,WI,Boys Basketball,141366,
Burlington High School,WI,Boys Cross Country,143283,
Burlington High School,WI,Boys Football,146110,
Burlington High School,WI,Boys Golf,142185,
Burlington High School,WI,Boys Soccer,142738,
